	Intrusion	Locality	Petrology	Outcrop	Symbol	Colour	SiO2	Ti	Y	ZrO2	La	Ce	Pr	#N/A	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	Pb	Pb	Th	U
16ALT59-1	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	4.643377833	222.2248747	57.82408708	0.013157608	12.82929026	0.041060835	#N/A	0.47001405	0.877019036	0.277928201	4.592484795	1.515634642	18.70176463	7.353679395	33.4575058	7.617617632	75.33788759	16.43796535	9976.233484	0.549840824	0.832710874	48.77740919	40.23534847	85.72643166
16ALT59-2	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	8.06870675	269.1131279	58.02940218	0	16.73832208	0.041560817	#N/A	0.780132957	1.515035004	0.411557765	6.502448209	1.951394771	22.76951387	8.453530306	40.42703272	8.783430402	87.65828242	18.98925881	9161.082849	0.473443579	0.634287697	7.043902283	13.80240278	13.921549
16ALT59-3	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	3.705768972	417.6891355	60.10781589	2.171672077	20.73075614	0.621841851	#N/A	3.357737673	2.662542028	0.498282932	10.27512784	3.306147561	37.06961205	13.59558849	63.21941305	13.58778999	127.5835791	26.98689624	9014.792025	0.60604599	0.60377316	89.1444285	83.91437781	120.7986193
16ALT59-4	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	3.917960284	193.6307439	61.42512903	0.002647185	13.13936915	0.02944015	#N/A	0.543781795	0.971971137	0.269131449	4.596012033	1.379064448	16.35080009	6.199583038	28.90801477	6.301033284	62.99470328	13.55276116	9002.056909	0.428199874	0	4.393339208	7.30173735	9.094474422
16ALT59-5	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	7.071516804	398.1921259	63.82253169	0.038419719	15.94949841	0.082153495	#N/A	1.351910556	2.537382184	0.600692521	11.32021977	3.275999438	35.92489418	13.16226556	58.97301674	12.51379737	116.4540838	24.40788164	9034.333933	0.48662722	0	71.48847763	79.69528363	107.7104711
16ALT59-6	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	4.212903494	161.7503231	68.96381594	0.00961433	13.09352846	0.025493418	#N/A	0.304863213	0.694931949	0.229755546	4.067247484	1.130984232	12.86475193	5.118441714	24.3045125	5.312513785	53.40122012	11.35380214	9559.776397	0.400716026	2.015076896	4.791078128	8.379057486	10.86611421
16ALT59-7	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	8.121000578	843.0823721	65.63227365	0.869686735	45.20210027	0.635020221	#N/A	4.936639051	5.357550945	3.132292445	23.87453338	7.115688178	77.72461204	28.26743666	125.1736949	25.22231349	231.5281412	46.41132668	9060.124161	0.731702224	0.61526019	209.6578526	380.7162835	394.3256486
16ALT59-8	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	6.063964897	136.3221531	61.82645306	0.000904913	10.16247563	0.024965742	#N/A	0.255916344	0.789468179	0.156942931	2.942990999	0.973698678	10.76890456	4.03322211	20.47949173	4.622361822	47.21702116	10.59844742	7998.99429	0.417263069	0.863011057	20.68876574	18.59408622	44.780253
16ALT59-9	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	5.698138579	179.3730002	66.47641397	0.011978906	16.59104029	0.03634379	#N/A	0.62937092	1.10072593	0.315784254	4.047844142	1.302235898	14.75326382	5.673894383	26.97756321	5.862448303	58.82530006	12.84091014	9465.750527	0.406785856	0.547127723	14.59707124	10.47023109	31.8173205
16ALT59-10	Sazava	Mrac	bi-amph quartz diorite	working quarry	10	4	32.65904584	3.727595844	233.9311332	65.97738273	0.001898366	14.90828321	0.04824559	#N/A	0.728159959	1.233557467	0.404936108	5.734098847	1.729109854	20.29456234	7.614564362	34.65771161	7.498589598	73.97084403	16.01867713	8094.331317	0.380640372	0.665020765	7.48249281	15.64120546	13.89993393
